,R_mean,R_median,R_std,G_mean,G_median,G_std,B_mean,B_median,B_std,IR_mean,IR_median,IR_std,DomCol1_R,DomCol1_G,DomCol1_B,DomCol2_R,DomCol2_G,DomCol2_B,Edge_mean,Edge_median,Edge_std
479,47.968264,23.0,54.910439178960374,63.48121,44.0,48.67289281454206,72.675787,55.0,35.813311225445645,67.126966,8.0,75.4572825884609,0.030076264546193818,0.10872263800276996,0.18839873209123487,0.5615381051057854,0.5778428814829628,0.18839873209123487,0.02860328953172948,0.0031002722158513523,0.045888424474830256
480,0.490668,0.0,1.3324454637154952,18.049118,18.0,2.0944744978337644,43.841958,44.0,2.3440991289269313,0.100322,0.0,0.6616143108458279,0.0007072251881404961,0.0674647311185787,0.1677446955885501,0.003288294145691888,0.07474371669945201,0.1677446955885501,0.00019115478750237117,0.0,0.002320437594007642
481,0.689326,0.0,2.3026201740026515,16.753317,16.0,3.5679616726516272,43.35633,43.0,3.9199490980241056,0.075404,0.0,0.9834583045477829,0.0021304735247471332,0.06480744202528435,0.16906551365462547,0.20590290439607928,0.3751984244846228,0.16906551365462547,0.0003630125405139323,0.0,0.003919446246755313
482,0.583645,0.0,2.2624711078762973,14.943562,15.0,3.681334371142617,41.540656,41.0,4.041601550086797,0.063116,0.0,1.0582336086819395,0.05440909482086894,0.1487209795046382,0.26123216125456855,0.0018018272436824113,0.05778768245831206,0.26123216125456855,0.00032815485598964965,0.0,0.004276467878992657
483,0.555191,0.0,2.7919906793395644,14.207211,14.0,4.337715136045588,40.561176,40.0,4.657529548701114,0.085154,0.0,1.581938935700111,0.0016662610314757298,0.05487385052991212,0.15816969469531542,0.3249131036345143,0.535906150305795,0.15816969469531542,0.0004938924325334651,0.0,0.006482769987636948
484,1.08319,0.0,5.8650895495209605,16.377196,15.0,8.901575769355896,42.512083,41.0,9.258564575630015,0.408657,0.0,3.971381429219686,0.0023223586582292854,0.06120963384351149,0.16356660106740467,0.37701762234697106,0.5832353766957409,0.16356660106740467,0.0024111461133641313,0.0,0.016030050354449415
485,1.047453,0.0,5.790808338461134,23.591489,26.0,9.223055554580542,49.911156,52.0,9.532367111251224,0.449452,0.0,4.034234611384917,0.0032781801671637844,0.10575356667200767,0.20973947052767014,0.26998989797032125,0.46070123871990226,0.20973947052767014,0.0024729861869771837,0.0,0.01601241230350085
486,1.23095,0.0,6.003241799019926,25.984943,25.0,8.431502848647504,50.693792,50.0,8.853596707594942,0.56399,0.0,4.124881001907813,0.0025686618994064945,0.09864443513503861,0.19544687554717385,0.3512241981542868,0.567742740136311,0.19544687554717385,0.0028632578779284427,0.0,0.015790202871635396
487,17.993638,1.0,32.10423248615291,37.760781,23.0,29.17492428901983,53.114108,44.0,22.540765678306848,22.269922,0.0,47.29066030532789,0.19530692245870276,0.26133638711697693,0.27618116529265424,0.01314544290249528,0.09580727494111706,0.27618116529265424,0.015932736154137185,0.0,0.036445585865783045
488,87.126551,87.0,35.51725833794607,90.353792,92.0,34.846248251723395,86.924084,87.0,31.16379955591012,132.216416,134.0,37.2692636647807,0.1822727658386835,0.19297894892945705,0.2016602270638808,0.5173780269423184,0.5213220004259059,0.2016602270638808,0.061175225113608754,0.04945881668874287,0.04694940304103393
